hour,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
6553,274,0,Offshore A,1.1152,0.003,0.0042,-0.1037,0.0255,0.1068,1.5333
6553,274,0,ReLU Ridge,1.0931,-0.0034,-0.0036,-0.1447,0.0599,0.1566,1.871
6553,274,0,Gradient Grove,1.0954,0.0029,0.0027,-0.1069,-0.0122,0.1076,1.538
6553,274,0,Offshore B,1.0702,-0.0015,-0.002,0.0381,0.206,0.2098,2.3158
6553,274,0,GANopolis,1.0969,0.0,0.0004,-0.0516,0.0017,0.0516,1.2294
6553,274,0,Sparseville,1.0921,-0.0043,-0.0043,-0.0936,-0.0073,0.0939,1.4561
6553,274,0,Tensorburg,1.0942,-0.0022,-0.0031,-0.1499,0.047,0.1583,1.8855
6553,274,0,Bayes Bay,1.0819,0.0006,0.0006,-0.0631,0.0604,0.0874,1.4187
6554,274,1,ReLU Ridge,1.1022,0.0012,0.0013,-0.1359,0.0445,0.143,1.7725
6554,274,1,Sparseville,1.1067,-0.0038,-0.0038,-0.0996,-0.0144,0.1007,1.4961
6554,274,1,Offshore A,1.1201,0.0036,0.0044,-0.1013,0.0288,0.1053,1.5239
6554,274,1,Bayes Bay,1.0961,0.0044,0.0042,-0.0716,0.0622,0.095,1.4625
6554,274,1,Gradient Grove,1.1103,0.0002,0.0002,-0.1071,-0.0163,0.1084,1.5426
6554,274,1,Offshore B,1.0857,-0.0027,-0.0031,0.0544,0.1846,0.1927,2.1648
6554,274,1,Tensorburg,1.1022,0.0012,0.0007,-0.0959,0.0209,0.1014,1.5037
6554,274,1,GANopolis,1.1061,0.0009,0.0003,-0.0682,-0.0075,0.0687,1.3173
6555,274,2,GANopolis,1.1282,0.0017,0.0016,-0.0921,-0.0055,0.0926,1.4483
6555,274,2,Bayes Bay,1.1284,0.0043,0.0042,-0.0941,0.0263,0.099,1.486
6555,274,2,Sparseville,1.1226,-0.003,-0.003,-0.1053,-0.008,0.1057,1.5262
6555,274,2,ReLU Ridge,1.1003,0.0032,0.0032,-0.1126,0.0131,0.1141,1.5803
6555,274,2,Offshore A,1.0822,0.0004,0.0006,-0.0984,0.0159,0.1003,1.4937
6555,274,2,Tensorburg,1.1288,0.0035,0.0034,-0.0911,-0.0259,0.0949,1.4622
6555,274,2,Gradient Grove,1.1126,-0.0016,-0.0016,-0.1094,-0.0074,0.1098,1.5514
6555,274,2,Offshore B,1.0966,-0.0037,-0.0038,0.0412,0.1412,0.1472,1.806
6556,274,3,ReLU Ridge,1.0499,0.0008,0.0007,-0.0887,-0.0331,0.0956,1.4661
6556,274,3,Sparseville,1.0987,-0.0005,-0.0005,-0.1108,0.0198,0.1132,1.5725
6556,274,3,Tensorburg,1.092,0.0029,0.0032,-0.0691,0.005,0.0701,1.3249
6556,274,3,Offshore A,1.0415,-0.0032,-0.0036,-0.1087,-0.0166,0.1101,1.5539
6556,274,3,Offshore B,1.0812,-0.0039,-0.0036,-0.0126,0.0633,0.0706,1.3314
6556,274,3,Gradient Grove,1.0672,-0.0012,-0.0011,-0.1148,0.016,0.1162,1.5921
6556,274,3,Bayes Bay,1.0977,0.0009,0.001,-0.0948,-0.0239,0.0988,1.4845
6556,274,3,GANopolis,1.0854,0.0021,0.0024,-0.0816,0.0015,0.0816,1.3864
6557,274,4,Gradient Grove,1.0444,-0.0009,-0.0005,-0.126,0.0349,0.1308,1.6875
6557,274,4,Offshore B,1.0435,-0.0038,-0.0032,-0.0658,0.008,0.0665,1.305
6557,274,4,Sparseville,1.0137,0.0027,0.0027,-0.0935,0.0539,0.1085,1.5432
6557,274,4,Tensorburg,1.0165,0.0014,0.0019,-0.0474,0.0123,0.0492,1.2176
6557,274,4,ReLU Ridge,1.0327,-0.0011,-0.0012,-0.1111,-0.0479,0.121,1.6238
6557,274,4,Offshore A,1.0405,-0.0063,-0.0072,-0.1294,-0.0171,0.1305,1.6859
6557,274,4,GANopolis,1.0392,0.0024,0.003,-0.0822,-0.0036,0.0823,1.3901
6557,274,4,Bayes Bay,1.0216,-0.003,-0.0027,-0.087,-0.0439,0.0975,1.4768
6558,274,5,GANopolis,1.0002,0.0031,0.0037,-0.0809,-0.0041,0.081,1.3826
6558,274,5,Bayes Bay,0.9996,-0.006,-0.0057,-0.0863,-0.0368,0.0938,1.4557
6558,274,5,Sparseville,0.9914,0.0029,0.0029,-0.0874,0.075,0.1152,1.5853
6558,274,5,Offshore B,1.0078,-0.0024,-0.0016,-0.0639,0.0109,0.0649,1.2963
6558,274,5,Tensorburg,0.9874,0.0023,0.0022,-0.0429,-0.012,0.0455,1.1995
6558,274,5,ReLU Ridge,0.9851,-0.0014,-0.0013,-0.1295,-0.0423,0.1363,1.7249
6558,274,5,Gradient Grove,0.9994,-0.002,-0.0012,-0.1191,0.0318,0.1233,1.6376
6558,274,5,Offshore A,0.9938,-0.0054,-0.0067,-0.1579,-0.0238,0.1597,1.896
6559,274,6,Offshore B,0.9816,-0.001,-0.0003,-0.0526,0.0198,0.0565,1.2542
6559,274,6,Sparseville,0.9617,-0.0009,-0.001,-0.0896,0.083,0.1221,1.63
6559,274,6,Tensorburg,0.9636,0.0038,0.0031,-0.044,-0.0382,0.0583,1.2632
6559,274,6,Offshore A,0.9786,-0.0033,-0.0049,-0.1914,-0.0337,0.1944,2.1771
6559,274,6,GANopolis,0.9775,0.0014,0.0017,-0.0762,-0.0032,0.0763,1.3571
6559,274,6,Bayes Bay,0.9732,-0.0055,-0.0052,-0.0727,-0.0165,0.0749,1.3497
6559,274,6,Gradient Grove,0.9845,-0.0017,-0.0006,-0.1154,0.0214,0.1174,1.5994
6559,274,6,ReLU Ridge,0.9714,-0.0021,-0.0017,-0.1192,-0.0357,0.1244,1.6457
6560,274,7,Sparseville,0.9459,-0.0018,-0.0018,-0.0935,0.0796,0.1228,1.6346
6560,274,7,Bayes Bay,0.958,-0.0013,-0.001,-0.0779,0.0162,0.0801,1.3776
6560,274,7,Offshore A,0.9587,-0.0018,-0.0037,-0.1999,-0.0643,0.2113,2.3281
6560,274,7,Gradient Grove,0.9721,0.0007,0.0018,-0.1094,0.0091,0.1098,1.5518
6560,274,7,Offshore B,0.9522,-0.0017,-0.0014,-0.0221,0.0322,0.0397,1.1724
6560,274,7,Tensorburg,0.9518,0.0007,-0.0004,-0.0657,-0.0454,0.0801,1.3776
6560,274,7,GANopolis,0.9636,-0.0016,-0.0013,-0.096,0.0036,0.0961,1.4694
6560,274,7,ReLU Ridge,0.9545,-0.0033,-0.0027,-0.0852,-0.0368,0.0931,1.4522
6561,274,8,Tensorburg,0.9394,-0.0031,-0.0046,-0.0773,-0.0341,0.0848,1.4036
6561,274,8,Offshore A,0.9478,-0.0025,-0.0044,-0.1714,-0.1023,0.1997,2.2242
6561,274,8,Bayes Bay,0.9394,-0.0005,-0.0,-0.0648,0.0442,0.0789,1.3712
6561,274,8,Sparseville,0.9384,0.0012,0.0011,-0.0847,0.0696,0.1096,1.5507
6561,274,8,ReLU Ridge,0.9295,-0.0027,-0.0022,-0.0443,-0.0447,0.0639,1.2916
6561,274,8,GANopolis,0.9487,-0.0024,-0.002,-0.115,0.013,0.1158,1.5892
6561,274,8,Offshore B,0.9392,-0.0027,-0.003,-0.0145,0.036,0.0388,1.1681
6561,274,8,Gradient Grove,0.9601,0.0024,0.0035,-0.1117,-0.004,0.1119,1.5644
6562,274,9,Bayes Bay,0.924,-0.0015,-0.0012,-0.056,0.0628,0.0842,1.4006
6562,274,9,Gradient Grove,0.9571,0.001,0.0022,-0.11,-0.0149,0.1111,1.5593
6562,274,9,ReLU Ridge,0.9145,-0.0008,-0.0008,-0.02,-0.0692,0.0722,1.3356
6562,274,9,GANopolis,0.9478,0.0003,0.0009,-0.1236,0.0177,0.1248,1.6476
6562,274,9,Offshore B,0.9312,-0.0013,-0.0021,-0.0176,0.0223,0.0288,1.122
6562,274,9,Offshore A,0.9381,-0.0033,-0.005,-0.1569,-0.0373,0.163,1.9208
6562,274,9,Sparseville,0.9304,0.0039,0.0035,-0.0867,0.0591,0.105,1.5223
6562,274,9,Tensorburg,0.9351,-0.0064,-0.008,-0.0942,-0.034,0.1005,1.4957
6563,274,10,Tensorburg,0.9206,-0.0054,-0.0069,-0.0968,-0.1078,0.1466,1.8031
6563,274,10,GANopolis,0.942,0.002,0.003,-0.1206,0.0161,0.1216,1.6268
6563,274,10,Gradient Grove,0.9499,-0.0007,0.0006,-0.1085,-0.0195,0.1102,1.5542
6563,274,10,Sparseville,0.9308,0.0035,0.0028,-0.1022,0.0383,0.1098,1.5513
6563,274,10,Offshore A,0.9306,-0.0028,-0.004,-0.1465,0.0178,0.1477,1.8057
6563,274,10,ReLU Ridge,0.9109,0.0004,-0.0001,-0.0433,-0.1097,0.1183,1.609
6563,274,10,Bayes Bay,0.914,0.0001,-0.0,-0.0499,0.0662,0.0829,1.3934
