hour,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
9025,377,0,Bayes Bay,1.0669,0.003,0.0024,-0.1293,-0.0507,0.1392,1.745
9025,377,0,ReLU Ridge,1.0622,0.0014,0.0012,-0.1196,-0.0726,0.1399,1.7501
9025,377,0,Tensorburg,1.0656,0.0006,0.0003,-0.0508,-0.0213,0.0551,1.2464
9025,377,0,Offshore A,1.0647,0.0032,0.0035,-0.1532,-0.0024,0.1532,1.8461
9025,377,0,Gradient Grove,1.0763,-0.0042,-0.0031,-0.061,0.0121,0.0622,1.2828
9025,377,0,GANopolis,1.0792,-0.0008,0.0008,-0.1327,-0.0167,0.1337,1.7075
9025,377,0,Offshore B,1.0581,0.0023,0.0025,-0.1193,-0.068,0.1375,1.7336
9025,377,0,Sparseville,1.0809,0.002,0.0031,-0.1211,0.0345,0.1259,1.6552
9026,377,1,Offshore A,1.0777,0.0028,0.0037,-0.1434,0.0065,0.1435,1.7757
9026,377,1,Sparseville,1.0951,0.0002,0.0012,-0.0971,0.0206,0.0993,1.4886
9026,377,1,GANopolis,1.0898,-0.0037,-0.0019,-0.1203,-0.0098,0.1207,1.6209
9026,377,1,Offshore B,1.0638,0.0018,0.0019,-0.0937,-0.0787,0.1226,1.6333
9026,377,1,ReLU Ridge,1.0715,0.0051,0.0051,-0.1214,-0.0586,0.1348,1.7151
9026,377,1,Gradient Grove,1.0794,0.0006,-0.0,-0.0559,0.004,0.0562,1.252
9026,377,1,Bayes Bay,1.0763,0.0024,0.0022,-0.1326,-0.0248,0.1351,1.7167
9026,377,1,Tensorburg,1.0728,0.001,0.0003,-0.0512,-0.0238,0.0565,1.2536
9027,377,2,Sparseville,1.0827,-0.0019,-0.0012,-0.0674,0.0326,0.0754,1.3522
9027,377,2,GANopolis,1.104,-0.0037,-0.002,-0.1088,-0.0052,0.1089,1.5461
9027,377,2,Tensorburg,1.0826,0.0019,0.001,-0.0647,-0.0179,0.0672,1.3087
9027,377,2,Offshore A,1.0919,-0.0008,0.0003,-0.1347,0.0134,0.1354,1.7189
9027,377,2,Gradient Grove,1.0925,0.0017,0.0,-0.0822,-0.0149,0.0838,1.3992
9027,377,2,Offshore B,1.074,0.0009,0.0008,-0.0722,-0.0768,0.1054,1.5248
9027,377,2,Bayes Bay,1.0853,-0.001,-0.0007,-0.1305,-0.0009,0.1307,1.6867
9027,377,2,ReLU Ridge,1.085,0.0059,0.0062,-0.11,-0.0426,0.118,1.6037
9028,377,3,Offshore B,1.0888,0.0008,0.0005,-0.0694,-0.0701,0.0986,1.4835
9028,377,3,Tensorburg,1.0899,0.0035,0.0027,-0.0847,-0.0229,0.0878,1.4213
9028,377,3,GANopolis,1.1084,-0.0014,-0.0001,-0.101,-0.0007,0.1011,1.4982
9028,377,3,Gradient Grove,1.1002,-0.0005,-0.0017,-0.1021,-0.0336,0.1075,1.5375
9028,377,3,ReLU Ridge,1.0944,0.0031,0.0035,-0.0996,-0.0268,0.1032,1.5109
9028,377,3,Sparseville,1.0946,-0.0038,-0.0035,-0.071,0.0357,0.0795,1.3745
9028,377,3,Offshore A,1.1048,-0.0038,-0.0028,-0.1315,0.0172,0.1326,1.6999
9028,377,3,Bayes Bay,1.0891,-0.0017,-0.0013,-0.1213,0.0128,0.122,1.6295
9029,377,4,Offshore B,1.1171,-0.0007,-0.001,-0.0777,-0.0512,0.0937,1.4547
9029,377,4,ReLU Ridge,1.1022,-0.0046,-0.0047,-0.1062,-0.0087,0.1069,1.5335
9029,377,4,Sparseville,1.1085,-0.0041,-0.0041,-0.0755,0.0167,0.078,1.3661
9029,377,4,GANopolis,1.1105,-0.001,-0.0003,-0.0922,0.0022,0.0922,1.4464
9029,377,4,Tensorburg,1.1033,0.0025,0.002,-0.1095,-0.0559,0.1233,1.6401
9029,377,4,Gradient Grove,1.1058,-0.0012,-0.0018,-0.1044,-0.0013,0.1057,1.5261
9029,377,4,Offshore A,1.1103,-0.0058,-0.0051,-0.129,0.0193,0.1304,1.6849
9029,377,4,Bayes Bay,1.104,0.0003,0.0006,-0.0983,0.0193,0.1002,1.4937
9030,377,5,Bayes Bay,1.118,-0.0005,-0.0005,-0.092,0.0053,0.0924,1.4474
9030,377,5,Offshore A,1.0894,-0.0039,-0.0037,-0.112,0.0103,0.1126,1.5717
9030,377,5,Gradient Grove,1.1233,0.0006,0.0005,-0.0991,0.0212,0.1014,1.5008
9030,377,5,Tensorburg,1.1235,-0.0005,-0.0007,-0.138,-0.0457,0.1472,1.8027
9030,377,5,ReLU Ridge,1.1155,-0.0045,-0.0045,-0.1102,0.0055,0.1104,1.5555
9030,377,5,Sparseville,1.116,-0.0041,-0.0041,-0.0931,-0.0091,0.094,1.4572
9030,377,5,GANopolis,1.1108,-0.0025,-0.0024,-0.1036,0.0005,0.1036,1.5143
9030,377,5,Offshore B,1.1158,-0.0024,-0.0024,-0.0843,-0.0053,0.0859,1.4098
