hour,day,hour_of_day,city,pressure,air_temp,ground_temp,velocity_x,velocity_y,windspeed,damage
3625,152,0,Offshore B,0.6504,-0.0027,-0.0024,-0.1249,0.0864,0.1527,0.6272
3625,152,0,ReLU Ridge,0.6661,-0.0005,-0.0013,-0.0502,0.0822,0.0968,0.3575
3625,152,0,Tensorburg,0.6634,0.0009,-0.0004,-0.1612,-0.0608,0.1727,0.7689
3625,152,0,Offshore A,0.661,0.0013,0.0014,-0.049,-0.0324,0.059,0.2448
3625,152,0,Sparseville,0.6075,-0.0007,-0.0008,0.0726,-0.1168,0.1378,0.5489
3625,152,0,GANopolis,0.6564,-0.0029,-0.0028,-0.1669,0.0608,0.1778,0.8065
3625,152,0,Bayes Bay,0.5911,-0.0009,-0.0019,-0.0016,0.1381,0.2,1.2569
3625,152,0,Gradient Grove,0.67,-0.0015,-0.0009,-0.0631,0.0191,0.0663,0.2632
3626,152,1,GANopolis,0.6439,0.0008,0.0011,-0.1473,0.0457,0.1546,0.6491
3626,152,1,Sparseville,0.5666,-0.0007,-0.0013,0.1249,-0.166,0.2092,1.254
3626,152,1,Tensorburg,0.6468,-0.0028,-0.003,-0.1717,-0.0918,0.1954,0.9727
3626,152,1,Bayes Bay,0.6189,-0.0034,-0.0038,-0.1859,-0.0258,0.1897,1.006
3626,152,1,Offshore B,0.623,-0.0038,-0.004,-0.0855,0.1167,0.145,0.58
3626,152,1,Offshore A,0.6307,0.0015,0.0016,-0.0567,-0.0541,0.0786,0.2983
3626,152,1,Gradient Grove,0.6325,-0.0015,-0.001,-0.0459,0.0462,0.0662,0.2628
3626,152,1,ReLU Ridge,0.641,0.0014,0.0008,-0.0716,0.0622,0.0958,0.3539
3627,152,2,Gradient Grove,0.6348,-0.0028,-0.0026,-0.044,0.0612,0.0756,0.2888
3627,152,2,Offshore B,0.6244,-0.0048,-0.0052,-0.0947,0.1453,0.1747,0.7816
3627,152,2,Tensorburg,0.6723,-0.0037,-0.0033,-0.121,-0.0194,0.1273,0.5028
3627,152,2,GANopolis,0.6512,0.0035,0.0039,-0.1248,0.0221,0.1273,0.4888
3627,152,2,Sparseville,0.5108,-0.0002,-0.0013,0.2592,-0.3002,0.3994,10.2468
3627,152,2,Bayes Bay,0.6247,-0.0017,-0.0018,-0.2468,-0.0997,0.2736,2.231
3627,152,2,ReLU Ridge,0.6513,0.0006,0.0006,-0.0683,0.0291,0.0747,0.2859
3627,152,2,Offshore A,0.6442,0.0008,0.0009,-0.0907,-0.0547,0.1072,0.4008
3628,152,3,Offshore A,0.6558,-0.0003,-0.0001,-0.1242,-0.0256,0.1286,0.5094
3628,152,3,Bayes Bay,0.6375,0.0012,0.0011,-0.2358,-0.165,0.289,2.5116
3628,152,3,Tensorburg,0.69,-0.0039,-0.0034,-0.094,-0.0073,0.0972,0.3647
3628,152,3,Sparseville,0.3758,0.0005,-0.0007,0.3011,-0.3369,0.4851,22.4366
3628,152,3,Gradient Grove,0.6463,-0.0017,-0.0019,-0.0571,0.0649,0.0888,0.3317
3628,152,3,ReLU Ridge,0.6591,0.0001,0.0003,-0.0554,0.0296,0.0643,0.2603
3628,152,3,GANopolis,0.6695,0.0023,0.0029,-0.1035,0.0118,0.1045,0.39
3628,152,3,Offshore B,0.6517,-0.0048,-0.0052,-0.1269,0.1505,0.1992,1.0212
3629,152,4,Tensorburg,0.702,-0.003,-0.0025,-0.0846,0.0229,0.0893,0.3355
3629,152,4,Gradient Grove,0.6829,0.0013,0.001,-0.0938,0.0616,0.1126,0.4207
3629,152,4,GANopolis,0.6853,-0.0018,-0.0016,-0.0609,-0.0056,0.0634,0.2574
3629,152,4,ReLU Ridge,0.6792,0.0006,0.0007,-0.0456,0.0553,0.0737,0.2877
3629,152,4,Offshore B,0.6737,-0.0038,-0.0041,-0.1625,0.1379,0.2157,1.2004
3629,152,4,Bayes Bay,0.6557,0.0014,0.0011,-0.1916,-0.1489,0.2437,1.6196
3629,152,4,Sparseville,0.3072,0.0019,0.0015,0.2895,0.1538,0.4043,22.6485
3629,152,4,Offshore A,0.6879,-0.0015,-0.0012,-0.1642,-0.0285,0.167,0.7365
3630,152,5,Offshore A,0.7324,-0.0024,-0.0021,-0.1551,-0.045,0.1618,0.7019
3630,152,5,ReLU Ridge,0.7196,0.0009,0.0007,-0.0585,0.08,0.1004,0.3713
3630,152,5,Gradient Grove,0.7379,0.0021,0.002,-0.1312,0.0276,0.1349,0.5293
3630,152,5,Bayes Bay,0.7034,0.0018,0.0017,-0.1656,-0.1029,0.1957,1.0136
3630,152,5,Sparseville,0.5369,0.005,0.0049,0.0339,0.2141,0.2409,1.6423
3630,152,5,GANopolis,0.7265,-0.0036,-0.0038,-0.053,-0.0244,0.0591,0.247
3630,152,5,Offshore B,0.7175,-0.0034,-0.0037,-0.2175,0.0942,0.239,1.5188
3630,152,5,Tensorburg,0.7127,-0.0017,-0.0015,-0.0979,0.0238,0.1035,0.3834
3631,152,6,Tensorburg,0.7886,-0.0025,-0.0028,-0.0902,0.0,0.0932,0.3458
3631,152,6,ReLU Ridge,0.7797,0.0,-0.0004,-0.1076,0.1351,0.1732,0.784
3631,152,6,Bayes Bay,0.7916,0.0021,0.0022,-0.1162,-0.0293,0.1212,0.4684
3631,152,6,GANopolis,0.7973,-0.0017,-0.0022,-0.0862,-0.035,0.0945,0.3542
3631,152,6,Sparseville,0.7722,0.004,0.004,-0.0028,0.1272,0.1275,0.513
3631,152,6,Offshore B,0.7761,-0.002,-0.0022,-0.2937,0.061,0.3033,2.9536
3631,152,6,Offshore A,0.8128,-0.001,-0.0005,-0.129,0.0077,0.1296,0.4992
3631,152,6,Gradient Grove,0.8113,-0.0005,-0.0006,-0.129,-0.0318,0.1332,0.5156
3632,152,7,Bayes Bay,0.9124,-0.001,-0.0009,-0.0904,0.0079,0.0911,0.3384
3632,152,7,Gradient Grove,0.9258,-0.0031,-0.0031,-0.1038,-0.0621,0.1214,0.4582
3632,152,7,Tensorburg,0.915,-0.004,-0.005,-0.1172,-0.0171,0.1189,0.4468
3632,152,7,Offshore B,0.8708,-0.0006,-0.0008,-0.2196,-0.0741,0.2344,1.4855
3632,152,7,Sparseville,0.9018,0.0011,0.0012,0.0168,0.0487,0.0517,0.2289
3632,152,7,GANopolis,0.9182,-0.0002,-0.0006,-0.1289,-0.0349,0.134,0.525
3632,152,7,Offshore A,0.924,0.0011,0.0023,-0.0988,0.0255,0.1026,0.3858
3632,152,7,ReLU Ridge,0.8744,-0.0019,-0.0024,-0.1809,0.1758,0.2558,1.7806
3633,152,8,GANopolis,1.0201,-0.0005,-0.0004,-0.1501,-0.0317,0.1535,0.6337
3633,152,8,Gradient Grove,1.0389,-0.0028,-0.0027,-0.1252,-0.047,0.1358,0.5311
3633,152,8,ReLU Ridge,0.9897,-0.0028,-0.003,-0.1969,0.0245,0.2036,1.0648
3633,152,8,Sparseville,1.0111,0.0022,0.0018,0.0152,0.0134,0.0212,0.1678
3633,152,8,Bayes Bay,1.0242,-0.005,-0.005,-0.0926,0.0164,0.0941,0.3477
3633,152,8,Offshore A,1.0263,0.0007,0.0019,-0.0571,0.0335,0.0666,0.2645
3633,152,8,Offshore B,1.0125,-0.0008,-0.0011,-0.1806,-0.0874,0.201,1.0209
3633,152,8,Tensorburg,1.0252,-0.0031,-0.0044,-0.1385,0.0001,0.1389,0.546
3634,152,9,Sparseville,1.1122,0.0016,0.0005,0.0083,-0.016,0.0197,0.1649
3634,152,9,GANopolis,1.1198,-0.0005,-0.0001,-0.1532,-0.0189,0.1547,0.6428
3634,152,9,Bayes Bay,1.1314,-0.0053,-0.0052,-0.1088,0.0164,0.1103,0.4127
3634,152,9,Gradient Grove,1.0847,-0.0017,-0.0017,-0.058,0.0326,0.0848,0.3495
3634,152,9,Tensorburg,1.1313,-0.0002,-0.0013,-0.1466,0.0105,0.1472,0.5936
3634,152,9,ReLU Ridge,1.1196,-0.0025,-0.0025,-0.1313,-0.0634,0.1479,0.6017
3634,152,9,Offshore B,1.1253,0.0005,0.0007,-0.1661,-0.0434,0.172,0.7672
3634,152,9,Offshore A,1.1147,0.0001,0.0009,-0.0347,0.0402,0.0533,0.231
3635,152,10,Sparseville,1.1979,0.0011,-0.0003,-0.0117,-0.04,0.0424,0.2072
3635,152,10,Offshore B,1.209,0.0049,0.0058,-0.1348,-0.0308,0.1383,0.5432
3635,152,10,Gradient Grove,1.2262,-0.0023,-0.0027,-0.0823,-0.046,0.1026,0.3855
3635,152,10,Bayes Bay,1.2012,-0.0026,-0.0018,-0.115,0.0086,0.1154,0.431
3635,152,10,GANopolis,1.2019,0.0006,0.001,-0.1169,-0.0092,0.1173,0.441
3635,152,10,ReLU Ridge,1.2003,-0.0024,-0.0025,-0.1375,-0.0893,0.1653,0.725
3635,152,10,Offshore A,1.2012,0.0008,0.001,-0.0368,0.0577,0.0688,0.2694
3635,152,10,Tensorburg,1.1989,0.0011,0.0003,-0.1357,0.007,0.1359,0.5301
3636,152,11,GANopolis,1.282,0.001,0.0012,-0.0962,-0.0139,0.0973,0.3592
3636,152,11,ReLU Ridge,1.2529,-0.002,-0.0019,-0.0859,-0.0823,0.1238,0.5022
3636,152,11,Bayes Bay,1.2759,0.0012,0.0023,-0.1066,0.0008,0.1066,0.395
3636,152,11,Offshore B,1.2777,0.0067,0.0075,-0.1171,-0.0194,0.1188,0.447
3636,152,11,Offshore A,1.2669,0.0014,0.0007,-0.0654,0.0569,0.0873,0.3252
3636,152,11,Gradient Grove,1.2483,-0.0025,-0.0032,-0.0906,0.0232,0.0978,0.3704
3636,152,11,Tensorburg,1.2672,0.0011,0.001,-0.1353,0.0128,0.1361,0.5328
3636,152,11,Sparseville,1.2665,-0.0002,-0.0017,-0.0563,-0.0375,0.0712,0.2776
3637,152,12,Gradient Grove,1.2961,-0.0019,-0.0031,-0.0798,-0.0882,0.1201,0.4563
3637,152,12,Offshore B,1.3353,0.0046,0.0053,-0.1054,-0.0079,0.1057,0.3924
3637,152,12,Tensorburg,1.3224,0.0017,0.0027,-0.1218,0.0288,0.1253,0.4752
3637,152,12,Bayes Bay,1.3301,0.0017,0.0026,-0.1118,-0.005,0.112,0.4172
3637,152,12,Sparseville,1.3214,-0.0025,-0.0029,-0.1134,-0.0051,0.1137,0.4264
3637,152,12,GANopolis,1.3336,-0.0007,-0.0007,-0.1039,-0.0162,0.1052,0.3903
3637,152,12,ReLU Ridge,1.3045,-0.0017,-0.0013,-0.0013,-0.0312,0.0317,0.19
3637,152,12,Offshore A,1.3209,0.0007,-0.0003,-0.0975,0.057,0.1138,0.4254
3638,152,13,ReLU Ridge,1.3499,-0.0019,-0.0018,-0.0191,0.0246,0.0314,0.1873
3638,152,13,Sparseville,1.3646,-0.0029,-0.002,-0.1189,-0.0049,0.119,0.4478
3638,152,13,Offshore A,1.3631,0.0002,-0.0006,-0.123,0.0469,0.1318,0.5083
3638,152,13,Offshore B,1.3743,0.0021,0.0028,-0.0888,0.0004,0.0888,0.3302
3638,152,13,Tensorburg,1.3644,0.0029,0.0042,-0.1084,0.0357,0.1143,0.4273
3638,152,13,GANopolis,1.3708,-0.0026,-0.0026,-0.1113,0.0022,0.1116,0.414
3638,152,13,Gradient Grove,1.3719,-0.0021,-0.0037,-0.123,-0.0609,0.1385,0.5457
3638,152,13,Bayes Bay,1.371,-0.0005,0.0001,-0.1159,-0.01,0.1164,0.4405
3639,152,14,Offshore B,1.4014,0.001,0.0016,-0.076,0.0082,0.0765,0.2913
3639,152,14,Tensorburg,1.3959,0.0033,0.0041,-0.0959,0.0375,0.1031,0.3818
3639,152,14,Gradient Grove,1.4003,-0.0025,-0.0038,-0.1375,-0.0336,0.1416,0.5635
